milestone,date,status,evidence,data_hash,note
B0-broad+B1 (S&P500 PIT),2026-06-10,PASS,reports/B0broad_B1_sp500_result.md,003e50390b250dbd,cap-weight corr0.998 vs SPY; B1 1/N same universe; survivorship/no-future PASS
B2~B5 factor sleeves (S&P500 PIT),2026-06-11,MEASURED,reports/B2_B5_factor_result.md,-,all factors Rank IC≈0 in large-cap; momentum least-weak; no robust edge (honest)
Phase 1A Baseline,2026-06-11,COMPLETE,integrated/Phase1A_Baseline_Lock_Pack_v0.1.md,-,"B0/B1 PASS; B2~B5 no signal NOT promoted; no tuning; next=cost-aware broad retest (protocol v0.1, pre-registered kill)"
Broad universe top-1500 PIT diagnostics,2026-06-11,PASS,outputs/broad_universe_top1500.csv,-,1500/mo·survivorship(delisted_in_top 518→12)·common-only·union 2973·mktcap floor ~$1.2B
B2~B5 broad cost-aware retest,2026-06-11,MEASURED,reports/B2B5_broad_result.md,-,"3/4 DEAD(value/momentum/lowvol); B3 quality SURVIVE screen(IC-IR0.22,net+4.4%) NOT promoted→quarantine validation"
B3 quality quarantine (5-test),2026-06-11,FAIL,reports/B3_quality_quarantine_result.md,-,"standalone TERMINATE: decay(2016-20 IC-IR0.42→2021-26 0.046,25/26 음수)+long-only vs CW −1.15%/yr. 단 long-leg vs 1/N +1.79%(IR0.39)·spread cost-robust→noise아님. live/paper 금지. Phase1B input은 별도결정(회의적)"
Phase 1B low-DoF challenger (3-model),2026-06-11,FAIL,reports/Phase1B_lowdof_result.md,-,"사전등록 1회: simple blend/constrained rank/ridge OOS 전부 net active vs CW 음수(-2.4/-3.6/-0.7%). ridge OOS IC-IR0.014(2021-26 -0.099)=정직fit시 edge無. vs 1/N 미세양수나 cap-weight 못이김. → US simple/linear factor family TERMINATE. no live/paper. 다음=KR arena/다른 edge"
Phase 1B,2026-06-11,COMPLETE,integrated/Phase1B_LowDoF_Challenger_Protocol_v0.1.md,-,"결합 가설 닫음. US 단순/선형 패러다임 종료. arena 재고 단계로."
Arena Selection Gate,2026-06-11,DONE,integrated/Arena_Selection_Gate_v0.1.md,-,"3→2 결정: Phase0 reframe(1p)→US signal type 변경(event/earnings 1순위). KR 보류(즉시점프 금지). B=US소형 cost-first, C=KR feasibility"
US event/earnings drift (arena A),2026-06-11,FAIL,reports/US_event_drift_result.md,-,"사전등록 1회: event/surprise 신호(gp/rev/eps/gm YoY+freshness, PIT datekey). decay 안함(2021-26 IC-IR+0.219>전체+0.069)=level과 다름. 그러나 long-only vs CW −0.90%/2x −1.17%/sector-neutral −1.49% 음수→4 kills FAIL. 메타: 3신호군 전부 vs 1/N 양수·vs cap-weight 음수=메가캡레짐이 일관된 killer. 코드 us_event_drift.py(PIT ffill 버그수정). 다음=B/C or 전략재검토"
US small/mid cost-first (arena B),2026-06-11,FAIL,reports/US_smallmid_costfirst_result.md,-,"사전등록 1회(rank1001-3000·≈1438종/월·price≥$5·ADV필터·보수비용25/45/75bp). quality/event/blend 전부 FAIL. 단 메타패턴 확증=small/mid는 cap-weight 벽 약해 셋다 base서 CW 이김(+0.66~2.2%)·value 부활(IC-IR0.224). 죽은이유=유동성집중(고유동성버킷 quality−4.9/blend−3.0%)·IC-IR<0.20·turnover·3x cost. event만 잔여흥미(2021-26 IC-IR+0.301·2x생존·고유동성+1.69%)나 IC-IR0.164<0.20 바로 FAIL(goalpost불변). 코드 b_smallmid.py·build_smallmid_universe.py. → US public-data cross-sectional arena TERMINATE"
US public-data cross-sectional arena,2026-06-11,CLOSED,reports/US_smallmid_costfirst_result.md,-,"4 arena(level/결합/event/smallmid) 전부 종료. 공개데이터·cross-sectional·long-only로 US 거래가능 standalone edge 없음. 방향신호 2개(신호는 small/mid서 더 산다·event는 decay안함)→KR small/mid+event(v2) 향함. 다음=KR feasibility"
US Chapter Final Lock,2026-06-11,LOCKED,integrated/US_Public_Data_CrossSectional_Chapter_Final_Lock_v0.1.md,-,"종료선 박음(10항목+금지리스트). 추가 알파 실험 금지. KR=future module Deferred. 다음=research engine hardening"
Phase 2 Research Engine Hardening,2026-06-11,PLANNED,integrated/Phase2_Research_Engine_Hardening_Plan_v0.1.md,-,"알파 아닌 리팩터: engine/ 모듈화(data/universe/features/cost/evaluate/kills/report/run) config-driven. M1-M8. acceptance=동결 실험 숫자 1:1 재현. 재검토교정: consolidation범위한정·앵커2~3개·legacy copy·TICKERS동결. KR 진입조건=이 단계 완료후 KR-B0 feasibility"
Phase 2 M1 data.py,2026-06-11,DONE,integrated/Phase2_M1_Data_Module_Result_v0.1.md,-,"engine/data.py(로딩·해시·manifest만). 기존 HASHES 9/9 byte-identical 재현=데이터 무손상·숫자불변. stale HASHES fix→manifest.json(13파일 superset). TICKERS live발견→snapshot_tickers 명시플래그 추가. acceptance 8/8. API off"
Phase 2 M1.5 TICKERS freeze,2026-06-11,DONE,integrated/Phase2_M1_Data_Module_Result_v0.1.md,-,"TICKERS 21847종·28컬럼 동결(TICKERS.csv·manifest generated_at). live 호출 9곳/8파일 전수. data.load_tickers() API-free 대체. smoke(.ndl_key 숨김): common=13488 재현·noncommon=0 재현·키없이 통과"
Phase 2 M2 universe.py,2026-06-11,DONE,integrated/Phase2_M2_Universe_Module_Result_v0.1.md,-,"engine/universe.py(PIT universe만). 3앵커 byte-identical 재현(.ndl_key 숨기고): SP500 ever-members 712✅·median505·survivorship213/119 / top-1500 union2973 hash일치 / smallmid union4504 hash일치. acceptance 8/8. consolidation(build_broad/smallmid/b0b1 멤버십 통합). 다음=M3 features.py"
